Node_ID,U1,U2,U3,Pressure_Stress
8,-0.040012,0.037120,-0.007053,83.343514
9,-0.000876,0.001580,0.002421,3.735694
10,-0.000564,0.000332,-0.000744,4.345626
11,-0.001132,0.000686,0.005369,-1.300775
12,-0.002229,0.003460,0.006713,1.448458
13,-0.000442,0.000382,0.000556,3.505310
14,-0.001594,0.005289,0.010918,-9.234432
15,-0.019086,0.022694,-0.002868,35.337475
16,-0.004906,0.010710,-0.001167,8.718853
17,-0.001439,0.004421,-0.000592,3.483005
18,-0.000407,0.007984,-0.010478,-9.470618
19,-0.000542,0.005315,-0.010405,-9.208469
20,-0.001429,0.003231,-0.007073,-1.133682
21,-0.000625,0.001688,-0.002878,1.973541
22,-0.000784,0.000646,-0.005547,-2.374309
