case_name,side_length_mm,area_mm2,depth_mm,center_x_mm,center_y_mm,inp_path
sq2p0_d0p5,2.0,4.0,0.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq2p0_d0p5/sq2p0_d0p5.inp
sq2p0_d1p0,2.0,4.0,1.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq2p0_d1p0/sq2p0_d1p0.inp
sq2p0_d1p5,2.0,4.0,1.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq2p0_d1p5/sq2p0_d1p5.inp
sq2p0_d2p0,2.0,4.0,2.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq2p0_d2p0/sq2p0_d2p0.inp
sq2p0_d2p5,2.0,4.0,2.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq2p0_d2p5/sq2p0_d2p5.inp
sq2p0_d3p0,2.0,4.0,3.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq2p0_d3p0/sq2p0_d3p0.inp
sq4p0_d0p5,4.0,16.0,0.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq4p0_d0p5/sq4p0_d0p5.inp
sq4p0_d1p0,4.0,16.0,1.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq4p0_d1p0/sq4p0_d1p0.inp
sq4p0_d1p5,4.0,16.0,1.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq4p0_d1p5/sq4p0_d1p5.inp
sq4p0_d2p0,4.0,16.0,2.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq4p0_d2p0/sq4p0_d2p0.inp
sq4p0_d2p5,4.0,16.0,2.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq4p0_d2p5/sq4p0_d2p5.inp
sq4p0_d3p0,4.0,16.0,3.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq4p0_d3p0/sq4p0_d3p0.inp
sq6p0_d0p5,6.0,36.0,0.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq6p0_d0p5/sq6p0_d0p5.inp
sq6p0_d1p0,6.0,36.0,1.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq6p0_d1p0/sq6p0_d1p0.inp
sq6p0_d1p5,6.0,36.0,1.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq6p0_d1p5/sq6p0_d1p5.inp
sq6p0_d2p0,6.0,36.0,2.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq6p0_d2p0/sq6p0_d2p0.inp
sq6p0_d2p5,6.0,36.0,2.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq6p0_d2p5/sq6p0_d2p5.inp
sq6p0_d3p0,6.0,36.0,3.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq6p0_d3p0/sq6p0_d3p0.inp
sq8p0_d0p5,8.0,64.0,0.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq8p0_d0p5/sq8p0_d0p5.inp
sq8p0_d1p0,8.0,64.0,1.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq8p0_d1p0/sq8p0_d1p0.inp
sq8p0_d1p5,8.0,64.0,1.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq8p0_d1p5/sq8p0_d1p5.inp
sq8p0_d2p0,8.0,64.0,2.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq8p0_d2p0/sq8p0_d2p0.inp
sq8p0_d2p5,8.0,64.0,2.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq8p0_d2p5/sq8p0_d2p5.inp
sq8p0_d3p0,8.0,64.0,3.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq8p0_d3p0/sq8p0_d3p0.inp
sq10p0_d0p5,10.0,100.0,0.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq10p0_d0p5/sq10p0_d0p5.inp
sq10p0_d1p0,10.0,100.0,1.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq10p0_d1p0/sq10p0_d1p0.inp
sq10p0_d1p5,10.0,100.0,1.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq10p0_d1p5/sq10p0_d1p5.inp
sq10p0_d2p0,10.0,100.0,2.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq10p0_d2p0/sq10p0_d2p0.inp
sq10p0_d2p5,10.0,100.0,2.5,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq10p0_d2p5/sq10p0_d2p5.inp
sq10p0_d3p0,10.0,100.0,3.0,10.0,10.0,/mnt/data/Abaqus批量仿真系统/cases/sq10p0_d3p0/sq10p0_d3p0.inp
