Node_ID,U1,U2,U3,Pressure_Stress
112,1.463090,2.367635,13.883707,-269.739912
113,0.035840,2.491904,8.872432,-237.621840
116,2.959224,-0.629833,9.990890,-597.603054
124,2.257718,-1.780323,5.775821,-285.894052
131,2.033559,-1.246151,-5.114740,-353.338111
133,2.171199,-0.548781,-7.328127,-424.768263
138,0.017698,0.830875,-4.450568,-422.985107
139,0.756621,0.466033,-7.992837,-586.723728
143,0.044246,-0.434256,-0.750862,-81.041873
147,-3.900079,-7.445040,-0.998251,748.127689
148,-6.554801,-14.338407,-1.592608,1721.738783
149,-11.507624,-29.300049,-2.172851,5211.728776
150,-2.804745,-7.631829,-1.173124,1437.259742
155,-0.028248,-0.157260,0.766577,35.201772
158,-0.028720,-0.150949,-0.492629,46.281712
160,-0.019218,-0.382009,0.772733,-9.418593
