NodeID,Component,Force_From_KU,Force_From_ReconstructedPressure,Force_Error
44,1,1.92435697563519e-09,0,-1.92435697563519e-09
44,2,-2.0481880339332e-08,0,2.0481880339332e-08
44,3,-1.57975794945475e-08,0,1.57975794945475e-08
45,1,-2.81910283836569e-08,0,2.81910283836569e-08
45,2,-9.0837742485958e-08,0,9.0837742485958e-08
45,3,-2.48475130332215e-08,0,2.48475130332215e-08
46,1,5.4287291488108e-08,0,-5.4287291488108e-08
46,2,-4.96734151123144e-08,0,4.96734151123144e-08
46,3,-6.99594183799224e-09,0,6.99594183799224e-09
47,1,3.97074967582994e-08,0,-3.97074967582994e-08
47,2,2.74338096470719e-07,0,-2.74338096470719e-07
47,3,-1.69763782561019e-07,0,1.69763782561019e-07
48,1,-2.28555422674987e-07,0,2.28555422674987e-07
48,2,-4.50310423502805e-08,0,4.50310423502805e-08
48,3,-1.03005932573438e-07,0,1.03005932573438e-07
49,1,-7.62725017688752e-08,0,7.62725017688752e-08
49,2,2.6460261984447e-07,0,-2.6460261984447e-07
49,3,1.14501242622772e-07,0,-1.14501242622772e-07
50,1,6.14065865933711e-08,0,-6.14065865933711e-08
50,2,1.3537367324571e-06,0,-1.3537367324571e-06
50,3,4.85585730791716e-07,0,-4.85585730791716e-07
51,1,-2.26770249638791e-07,0,2.26770249638791e-07
51,2,3.4599333984141e-07,0,-3.4599333984141e-07
51,3,1.79195106131229e-07,0,-1.79195106131229e-07
52,1,-1.20689791330286e-06,0,1.20689791330286e-06
52,2,-1.28235215426063e-06,0,1.28235215426063e-06
52,3,6.41299035188114e-07,0,-6.41299035188114e-07
53,1,-5.08538616331849e-07,0,5.08538616331849e-07
53,2,9.57329575261394e-08,0,-9.57329575261394e-08
53,3,-4.8829571920421e-07,0,4.8829571920421e-07
54,1,1.2722638105863e-06,0,-1.2722638105863e-06
54,2,-1.90152500080445e-07,0,1.90152500080445e-07
54,3,9.62888024536035e-07,0,-9.62888024536035e-07
55,1,1.16831364201098e-07,0,-1.16831364201098e-07
55,2,-9.37539953744376e-07,0,9.37539953744376e-07
55,3,6.08747408245569e-08,0,-6.08747408245569e-08
56,1,-9.87027254970019e-07,0,9.87027254970019e-07
56,2,2.44187178140981e-07,0,-2.44187178140981e-07
56,3,-2.25306012173465e-06,0,2.25306012173465e-06
57,1,3.03201785026297e-07,0,-3.03201785026297e-07
57,2,-3.85137494722521e-07,0,3.85137494722521e-07
57,3,7.62120769371571e-07,0,-7.62120769371571e-07
